IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.212.89,10,10,0.00,164.97,2.66
198.41.203.105,10,10,0.00,163.48,2.39
141.101.120.3,10,10,0.00,155.51,2.06
190.93.247.1,10,10,0.00,152.58,0.35
104.22.5.106,10,10,0.00,181.65,0.00
198.41.197.176,10,10,0.00,173.83,0.00
198.41.206.168,10,10,0.00,173.98,0.00
198.41.202.54,10,10,0.00,176.12,0.00
108.162.192.250,10,10,0.00,179.43,0.00
198.41.205.101,10,10,0.00,180.30,0.00
104.22.12.253,10,10,0.00,173.10,0.00
104.23.111.132,10,10,0.00,182.61,0.00
104.24.134.179,10,10,0.00,184.80,0.00
188.114.96.202,10,10,0.00,184.97,0.00
103.21.244.232,10,10,0.00,185.03,0.00
104.23.132.46,10,10,0.00,185.12,0.00
172.65.153.248,10,10,0.00,185.51,0.00
172.64.41.29,10,10,0.00,185.55,0.00
104.23.100.117,10,10,0.00,185.79,0.00
104.24.229.238,10,10,0.00,185.90,0.00
